 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> mars 20, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_mylar.txt.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -0,83%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800,00 keV   2,831E+02  4,007E-01    3,51 um     1641 A      2122 A   
 900,00 keV   2,777E+02  3,627E-01    3,87 um     1734 A      2185 A   
   1,00 MeV   2,714E+02  3,317E-01    4,23 um     1825 A      2247 A   
   1,10 MeV   2,646E+02  3,059E-01    4,60 um     1915 A      2307 A   
   1,20 MeV   2,577E+02  2,840E-01    4,98 um     2005 A      2367 A   
   1,30 MeV   2,508E+02  2,653E-01    5,38 um     2096 A      2427 A   
   1,40 MeV   2,439E+02  2,490E-01    5,78 um     2187 A      2488 A   
   1,50 MeV   2,373E+02  2,347E-01    6,19 um     2279 A      2549 A   
   1,60 MeV   2,310E+02  2,220E-01    6,62 um     2373 A      2611 A   
   1,70 MeV   2,248E+02  2,107E-01    7,06 um     2468 A      2674 A   
   1,80 MeV   2,190E+02  2,006E-01    7,51 um     2564 A      2739 A   
   2,00 MeV   2,080E+02  1,832E-01    8,44 um     2914 A      2871 A   
   2,25 MeV   1,956E+02  1,654E-01    9,68 um     3433 A      3045 A   
   2,50 MeV   1,846E+02  1,510E-01   10,99 um     3936 A      3228 A   
   2,75 MeV   1,747E+02  1,390E-01   12,39 um     4433 A      3422 A   
   3,00 MeV   1,658E+02  1,289E-01   13,85 um     4929 A      3627 A   
   3,25 MeV   1,578E+02  1,202E-01   15,40 um     5425 A      3842 A   
   3,50 MeV   1,505E+02  1,126E-01   17,02 um     5924 A      4069 A   
   3,75 MeV   1,439E+02  1,060E-01   18,71 um     6428 A      4308 A   
   4,00 MeV   1,379E+02  1,002E-01   20,48 um     6937 A      4557 A   
   4,50 MeV   1,274E+02  9,039E-02   24,25 um     8816 A      5091 A   
   5,00 MeV   1,184E+02  8,240E-02   28,32 um     1,06 um     5669 A   
   5,50 MeV   1,107E+02  7,577E-02   32,68 um     1,23 um     6291 A   
   6,00 MeV   1,040E+02  7,017E-02   37,34 um     1,41 um     6956 A   
   6,50 MeV   9,812E+01  6,539E-02   42,28 um     1,58 um     7663 A   
   7,00 MeV   9,291E+01  6,124E-02   47,52 um     1,75 um     8412 A   
   8,00 MeV   8,409E+01  5,442E-02   58,82 um     2,39 um     1,00 um  
   9,00 MeV   7,794E+01  4,902E-02   71,17 um     2,97 um     1,18 um  
  10,00 MeV   7,196E+01  4,464E-02   84,51 um     3,54 um     1,37 um  
  11,00 MeV   6,688E+01  4,101E-02   98,92 um     4,10 um     1,57 um  
  12,00 MeV   6,254E+01  3,796E-02  114,37 um     4,66 um     1,79 um  
  13,00 MeV   5,878E+01  3,534E-02  130,85 um     5,23 um     2,03 um  
  14,00 MeV   5,549E+01  3,308E-02  148,35 um     5,81 um     2,27 um  
  15,00 MeV   5,259E+01  3,110E-02  166,84 um     6,39 um     2,53 um  
  16,00 MeV   5,000E+01  2,936E-02  186,33 um     6,98 um     2,80 um  
  17,00 MeV   4,768E+01  2,781E-02  206,79 um     7,58 um     3,09 um  
  18,00 MeV   4,559E+01  2,642E-02  228,23 um     8,19 um     3,38 um  
  20,00 MeV   4,196E+01  2,404E-02  273,93 um    10,49 um     4,02 um  
  22,50 MeV   3,822E+01  2,163E-02  336,34 um    13,77 um     4,87 um  
  25,00 MeV   3,514E+01  1,967E-02  404,52 um    16,87 um     5,81 um  
  27,50 MeV   3,257E+01  1,806E-02  478,37 um    19,91 um     6,82 um  
  30,00 MeV   3,037E+01  1,670E-02  557,82 um    22,94 um     7,89 um  
  32,50 MeV   2,848E+01  1,553E-02  642,77 um    25,97 um     9,04 um  
  35,00 MeV   2,683E+01  1,453E-02  733,15 um    29,03 um    10,26 um  
  37,50 MeV   2,538E+01  1,365E-02  828,90 um    32,12 um    11,54 um  
  40,00 MeV   2,409E+01  1,288E-02  929,95 um    35,26 um    12,90 um  
  45,00 MeV   2,189E+01  1,158E-02    1,15 mm    46,98 um    15,80 um  
  50,00 MeV   2,010E+01  1,052E-02    1,39 mm    58,01 um    18,97 um  
  55,00 MeV   1,860E+01  9,652E-03    1,64 mm    68,77 um    22,38 um  
  60,00 MeV   1,733E+01  8,919E-03    1,92 mm    79,47 um    26,05 um  
  65,00 MeV   1,623E+01  8,294E-03    2,22 mm    90,19 um    29,96 um  
  70,00 MeV   1,528E+01  7,754E-03    2,54 mm   101,00 um    34,11 um  
  80,00 MeV   1,370E+01  6,867E-03    3,23 mm   141,03 um    43,11 um  
  90,00 MeV   1,244E+01  6,169E-03    3,99 mm   178,32 um    53,03 um  
 100,00 MeV   1,142E+01  5,604E-03    4,83 mm   214,71 um    63,85 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  7,1584E-03                keV / (ug/cm2) 
  7,1584E-03                MeV / (mg/cm2) 
  7,1584E+00                keV / (mg/cm2) 
  1,0383E-01                 eV / (1E15 atoms/cm2)
  8,9389E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
